Code,Job Responsibilites ,Label
1265,Manage the project implementation of placement management processes,Response C
1265,Develop policies and procedures for system users,Response C
1255,Create interactive dashboards to support Business Intelligence and insights,Response C
1255,Liaise with departments to build Power BI reports and automate data processes,Response C
1255,Manage data processes for stakeholder engagement and progress monitoring,Response C
1255,Lead the configuration and implementation of a new placement management process,Response C
1254,Lead the submission of student data and statistical returns to external bodies,Response C
1254,Manage data quality exception checking processes,Response C
1254,Develop solutions to enhance data governance and quality practices,Response C
1254,Provide training to staff on required data quality standards,Response C
1210,Provide technical expertise to Committees on University governance,Response C
1210,Advise Committees on legislative requirements and governance best practices,Response C
1210,Manage statutory annual returns and compliance reporting,Response C
1210,"Coordinate and manage meetings, including setting agendas and taking minutes",Response C
1310,"Lead the establishment, development, and delivery of the Employer Partnerships initiative",Response C
1310,Identify and approach suitable employers through engagement with networks,Response C
1310,Work closely with academic leads and Marketing to clarify roles and responsibilities,Response C
1310,"Develop procedures, documentation, and contracts for the partnership initiative",Response C
1310,"Ensure processes and infrastructures for future rollouts are created, including training",Response C
1148,"Manage staff, maintenance, and service delivery systems",Response C
1148,"Oversee daily maintenance, security, and waste management",Response C
1148,Ensure day-to-day maintenance of University assets,Response C
1148,Participate in the management of major University events,Response C
1148,Manage outsourced security provisions and monitor services,Response C
1245,Manage the University shuttle bus contract and service delivery,Response C
1245,Responsible for the administrative management of all FM contracts,Response C
1245,Assist with developing service contracts and overseeing sustainability and environmental requirements,Response C
1245,"Work closely with suppliers, stakeholders, and contractors to ensure service delivery",Response C
1150,"Manage the delivery of soft facilities including security systems, access control, and waste collection",Response C
1150,Oversee the maintenance and upgrades of CCTV systems,Response C
1150,Manage university campus keys and the key register,Response C
1150,Supervise portering duties including waste collection and furniture movement,Response C
1150,Manage outsourced physical security including regular foot patrols,Response C
1150,Manage fleet vehicles and ensure they are operated safely,Response C
1150,Respond to campus alarms and incidents,Response B
1225,Manage the Faculty Business Office and ensure efficient operations,Response C
1225,Coordinate Faculty events such as Dean’s Awards and conferences,Response C
1225,Manage and monitor Faculty-level meetings and budget processes,Response C
1225,Provide high-level support to Faculty leadership on developing initiatives,Response C
1201,Develop the University’s digital transformation roadmap,Response C
1201,Oversee the audit and cataloguing of current business and technical architecture,Response C
1201,Lead the design and development of an institutional data strategy,Response C
1201,Oversee the IT project portfolio and ensure alignment with the University's strategic objectives,Response C
1201,Lead on the design and development of an enterprise architecture capability,Response C
1200,Lead and manage the University's procurement function,Response C
1200,"Oversee tendering, contract management, spend analysis, and supplier performance management",Response C
1200,Develop and implement procurement policies and strategies,Response C
1200,Ensure compliance with UK procurement law and University policies,Response C
1207,Develop and deliver module workshops focusing on specific topics,Response C
1207,Develop and deliver extra-curricular activities and Equality & Diversity events,Response C
1207,Support recruitment activities of the University and partner organizations,Response C
1207,Set up additional activities to help raise the external profile of the University,Response C
1255,Support the accurate and timely submission of student data and statistical returns,Response C
1255,Lead on the production of student data returns and enhancement projects,Response C
1255,Proactively monitor and enhance data quality exception checking processes,Response C
1255,Design and deliver training sessions for business teams on data quality,Response C
1255,Work closely with colleagues to improve the efficiency of data collection processes,Response C
1180,Support the development and marketing of new programs,Response C
1180,Liaise with various departments to gather accurate course information,Response C
1180,"Undertake market research for new course development, including competitor analysis",Response C
1180,"Support the presentation of course information on the website, prospectuses, and other collateral",Response C
1180,"Support the development of digital marketing content, including video",Response C
1214,Provide accurate information and guidance to students on national student funding processes,Response C
1214,Respond to a wide range of student finance enquiries,Response C
1214,"Participate in university open events, group information sessions, and promotional activities",Response C
1214,Assist in assessing Hardship Fund applications and University Bursaries and Scholarships,Response C
1268,Provide accurate information and guidance to students on national funding processes,Response C
1268,Manage a caseload of students with financial difficulties and advise them on sources of funding,Response C
1268,"Provide targeted support to specific groups of students, such as international or distance learners",Response C
1268,"Plan and participate in promotional activities, open events, and training sessions",Response C
1268,Undertake assessments for the University Hardship Fund and other scholarships,Response C
1259,"Undertake maintenance duties such as Plumbing, Plastering, Flooring, and Joinery",Response B
1259,Carry out inspections and schedules as per PPM requirements,Response C
1259,Manage material stocks and the ordering process for tasks,Response C
1259,Ensure tools and equipment are maintained in good working order,Response C
1259,"Manage contractors and engineers on-site, ensuring safety and compliance",Response C
1259,Assist other members of the Estates & Facilities staff as required,Response B
1292,Lead the Practice Placement Team and manage all aspects of the placement lifecycle,Response C
1292,Engage with stakeholders to ensure robust mechanisms and health & safety processes,Response C
1292,"Liaise with placement providers, students, and academic colleagues",Response C
1292,Address concerns related to the practice learning environment and student experience,Response C
1292,"Ensure quality assurance of placements, including audits and external reviews",Response C
1143,"Supervise, motivate, and develop a team of Admission Administrators",Response C
1143,Oversee and be responsible for the processing of undergraduate and postgraduate applications,Response C
1143,Quality assure admissions processes and ensure compliance with external data requirements,Response C
1143,Provide expert knowledge on admission entry requirements and regulations,Response C
1141,Line management of the Corporate Communications Officer,Response C
1141,"Deliver corporate communications plans, including crisis communications",Response C
1141,Support external relations and community engagement,Response C
1141,"Write, edit, and proof-read corporate communication materials",Response C
1141,Manage key external stakeholder social media channels,Response C
1279,Provide initial technical support across all IT technologies,Response C
1279,Supervise the IT Service Desk team and assist with scheduling,Response C
1279,"Create and update knowledgebase articles, guides, and training material",Response C
1279,Assist in the evaluation and implementation of new IT tools and technologies,Response C
1279,Lead training and development initiatives for the Service Desk team,Response C
1316,Create and implement the sports development department’s strategic vision,Response C
1316,Manage the Talented Athlete Support Scheme and international sports volunteering programs,Response C
1316,Lead and manage sports participation programs such as social sport programs,Response C
1316,Develop and manage high-performance sports programs and mentorship for athletes,Response C
1316,Manage partnerships with external stakeholders and develop new sports-related projects,Response C
1316,Supervise and appraise the Sports Development team,Response C
1181,Develop the high-level strategy for race equality at the University,Response C
1181,Support the retention of the REC Bronze Award and application for the Silver Award,Response C
1181,Proactively scan for strategic opportunities to network and collaborate,Response C
1181,Write strategic reports and analyze data on race equality activities,Response C
1253,Manage and lead the Strategic Planning Team,Response C
1253,Develop and enhance high-quality data modeling and forecasting approaches,Response C
1253,Lead university-wide engagement in developing a data-driven culture,Response C
1253,Lead the development of an integrated planning process,Response C
1253,Provide analytical insights and performance interpretation to senior stakeholders,Response C
1306,Lead and line manage the Student Liaison and Engagement team,Response C
1306,Act as the system administrator for learner analytics systems,Response C
1306,Oversee the work of the engagement team in supporting student retention and engagement,Response C
1306,Coordinate the staffing of the Student Information Point,Response C
1306,Contribute to and analyze data related to student retention and progression,Response C
1269,"Oversee the Student Support service, including Duty Managers and Resident Mentors",Response C
1269,Coordinate responses to situations of risk or distress involving students,Response C
1269,Investigate incident reports related to Student Support,Response C
1269,"Oversee the Resident Mentors program, including recruitment and training",Response C
1269,Liaise with external teams to mediate accommodation issues,Response C
1213,Manage the day-to-day operations of Portering/Security teams,Response C
1213,"Ensure campus waste collection, compacting, and recycling",Response B
1213,"Supervise porterage tasks, including moving furniture and goods",Response B
1213,Undertake regular vehicle checks and manage driving duties,Response C
1213,"Assist with emergency situations, such as responding to fire alarms",Response B
1213,Monitor security and ensure only authorized persons are on campus,Response C
1305,Analyze and source solutions to minimize the University’s environmental impact,Response C
1305,"Carry out research and ecology surveys, and environmental impact assessments",Response C
1305,Undertake mandatory assessments for properties,Response C
1305,"Manage sustainability projects and initiatives, preparing project implementation bid documents",Response C
1305,Ensure all waste streams meet legal requirements and industry standards,Response C
1305,Provide sustainability support and guidance for University projects,Response C
1178,Provide day-to-day first and second line support for University systems,Response C
1178,"Maintain the service request catalogue, knowledge base, and self-service portal",Response C
1178,"Provide support for the design, development, configuration, and testing of services and systems",Response C
1178,Collaborate with Information Services colleagues to maintain underlying platforms and technologies,Response C
1178,"Produce reports on service incidents and requests, and ensure clear communication with stakeholders",Response C
1228,Ensure compliance with UK Visa and Immigration regulations,Response C
1228,Develop and review policies related to visa compliance,Response C
1228,Conduct regular audits to ensure compliance with UKVI regulations,Response C
1228,Manage the issuing of Confirmation of Acceptance for Studies,Response C
1228,Lead on system developments related to student records,Response C
1231,Provide comprehensive assessments to students experiencing mental health difficulties,Response C
1231,"Provide brief, focused support on student resilience and distress tolerance",Response C
1231,Manage urgent risks related to students,Response B
1231,Liaise with internal and external support services,Response C
1231,Handle a personal caseload and meet administrative requirements,Response C
1231,Use technology in the delivery of counselling services,Response C
